web-scraper-order,web-scraper-start-url,project_and_file
1606343858-2131,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=6,acadian/acadiancentralData.Tests/Communications/Memos/MemoRecipientValidatorTests.cs
1606343874-2188,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=1,acadian/acadian.memosAcadian.Memos/OrgLevelContext.cs
1606343874-2186,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=1,acadian/acadian.memosAcadian.Memos.Tests/Acadian.Memos.Tests.csproj
1606343855-2124,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=7,acadian/memomembershiptableupdaterDomain/Domain.csproj
1606343868-2163,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=3,acadian/memomembershiptableupdaterDomain/IActiveDirectoryRepo.cs
1606343874-2183,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=1,acadian/acadian.memosAcadian.Memos/MemoMembershipQuery.cs
1606343871-2175,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=2,acadian/acadian.memosAcadian.Memos/MemoGroupContext.cs
1606343855-2126,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=7,acadian/memomembershiptableupdaterMemoMembershipTableUpdater/MemoMembershipTableUpdater.csproj
1606343855-2123,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=7,acadian/acadiancentralData.Tests/Data.Tests.csproj
1606343864-2152,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=4,acadian/memomembershiptableupdaterData.Tests/ActiveDirectoryRepoTests.cs
1606343864-2148,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=4,acadian/memomembershiptableupdaterData/packages.config
1606343864-2157,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=4,acadian/memomembershiptableupdaterMemoMembershipTableUpdater.Tests/IntegrationTests.cs
1606343864-2147,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=4,Search
1606343864-2149,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=4,acadian/memomembershiptableupdaterDomain/Interfaces/ICreateMemoAssociations.cs
1606343874-2180,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=1,acadian/acadian.memosAcadian.Memos/Acadian.Memos.csproj
1606343871-2174,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=2,acadian/acadian.memosAcadian.Memos/EmployeesContext.cs
1606343874-2189,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=1,acadian/acadian.memosAcadian.Memos/ISubgroupExtractor.cs
1606343868-2162,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=3,acadian/memomembershiptableupdaterDomain/IEmployeeService.cs
1606343864-2150,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=4,acadian/acadiancentralData.Tests/packages.config
1606343871-2170,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=2,acadian/acadian.memosAcadian.Memos/IntranetDb.cs
1606343861-2146,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=5,acadian/memomembershiptableupdaterData.Tests/Data.Tests.csproj
1606343871-2172,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=2,acadian/acadian.memosAcadian.Memos/Employee.cs
1606343861-2139,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=5,acadian/acadiancentralData/packages.config
1606343858-2127,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=6,Search
1606343858-2136,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=6,acadian/acadiancentralData/Data.csproj
1606343868-2161,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=3,acadian/memomembershiptableupdaterDomain/Interfaces/IGroupWriteVerificationStrategy.cs
1606343868-2159,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=3,acadian/acadian.memosAcadian.Memos/MemoRepository.cs
1606343874-2184,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=1,acadian/acadian.memosAcadian.Memos/IMemoRepository.cs
1606343868-2166,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=3,acadian/memomembershiptableupdaterDomain/UserView.cs
1606343868-2167,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=3,acadian/memomembershiptableupdaterMemoMembershipTableUpdater/Implementations/ConsoleReporterReactionStrategy.cs
1606343861-2144,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=5,acadian/memomembershiptableupdaterData/EmployeeService.cs
1606343874-2179,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=1,Search
1606343864-2154,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=4,acadian/memomembershiptableupdaterMemoMembershipTableUpdater/Implementations/HaystackReactionStrategy.cs
1606343871-2173,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=2,acadian/acadian.memosAcadian.Memos/MemoMembershipQueryHandler.cs
1606343868-2165,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=3,acadian/acadiancentralData/Communications/Memos/Interfaces/ISelectionToEmployeesMapper.cs
1606343864-2153,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=4,acadian/memomembershiptableupdaterMemoMembershipTableUpdater.Tests/packages.config
1606343874-2185,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=1,acadian/acadian.memosAcadian.Memos/IGroupMembershipEnumerator.cs
1606343858-2130,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=6,acadian/memomembershiptableupdaterMemoMembershipTableUpdater/Root.cs
1606343874-2187,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=1,acadian/acadian.memosAcadian.Memos/GroupModel.cs
1606343868-2160,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=3,acadian/acadiancentralData/Communications/Memos/Interfaces/IMemoPopulater.cs
1606343858-2134,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=6,acadian/acadiancentralData/Communications/Memos/SelectionToEmployeesMapper.cs
1606343864-2155,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=4,acadian/acadiancentralIntranet.PresentationLayer/packages.config
1606343871-2171,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=2,acadian/acadian.memosAcadian.Memos/Properties/AssemblyInfo.cs
1606343861-2142,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=5,acadian/memomembershiptableupdaterMemoMembershipTableUpdater/packages.config
1606343855-2122,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=7,Search
1606343861-2143,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=5,acadian/memomembershiptableupdaterMemoMembershipTableUpdater/Implementations/DatabaseGroupManager.cs
1606343861-2140,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=5,acadian/acadiancentralData/Communications/Memos/MemoPopulater.cs
1606343858-2128,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=6,acadian/memomembershiptableupdaterData/Data.csproj
1606343858-2133,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=6,acadian/memomembershiptableupdaterData/ActiveDirectoryRepo.cs
1606343868-2158,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=3,Search
1606343861-2137,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=5,Search
1606343858-2129,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=6,acadian/memomembershiptableupdaterMemoMembershipTableUpdater.Tests/MemoMembershipTableUpdater.Tests.csproj
1606343861-2145,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=5,acadian/memomembershiptableupdaterDomain/packages.config
1606343871-2177,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=2,acadian/acadian.memosAcadian.Memos/EFMemoRepository.cs
1606343861-2141,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=5,acadian/memomembershiptableupdaterMemoMembershipTableUpdater/Implementations/MemoMembershipWriter.cs
1606343858-2132,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=6,acadian/memomembershiptableupdaterDomain/AdGroupManager.cs
1606343855-2125,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=7,acadian/acadiancentralData.Tests/Communications/Memos/SelectionToEmployeeMapperTests.cs
1606343871-2178,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=2,acadian/acadian.memosAcadian.Memos/GroupMembershipEnumerator.cs
1606343874-2181,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=1,acadian/acadian.memosAcadian.Memos.sln
1606343874-2182,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=1,acadian/acadian.memosAcadian.Memos/EmployeeDb.cs
1606343868-2164,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=3,acadian/memomembershiptableupdaterDomain/Interfaces/IReactionStrategy.cs
1606343871-2169,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=2,Search
1606343868-2168,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=3,acadian/memomembershiptableupdaterDomain/Interfaces/IMemoMembershipWriter.cs
1606343861-2138,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=5,acadian/memomembershiptableupdaterMemoMembershipTableUpdater/Implementations/CardinalityCheckVerificationStrategy.cs
1606343864-2151,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=4,acadian/memomembershiptableupdaterDomain/GroupView.cs
1606343864-2156,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=4,acadian/memomembershiptableupdaterData.Tests/packages.config
1606343871-2176,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=2,acadian/acadian.memosAcadian.Memos/SubgroupExtractor.cs
1606343858-2135,https://bitbucket.org/search?q=acadian.memos&account=%7B27edb908-c7a9-4a13-85c2-4b81a4c812d0%7D&page=6,acadian/memomembershiptableupdaterMemoMembershipTableUpdater.Tests/TableConstructorTests.cs
